"","Day_of_Week","Director","Genre","Movie_Title","Release_Date","Studio","Adjusted_Gross","Budget","Gross_rev","IMDb_Rating","MovieLens_Rating","Overseas_rev","Overseas_Perc","Profit","Profit_perc","Runtime_min","US_rev","US_perc","adjusted_Gross2","Adjusted_Gross2","MovieLens_Rating2","Profit_log","Profit_perc_log"
"1","Friday","Brad Bird","action","Tomorrowland","22/05/2015","Buena Vista Studios",202.1,170,202.1,6.7,3.26,111.9,55.4,32.1,18.9,130,90.2,44.6,202.1,2.3055663135153,6.52,1.50650503240487,1.27646180417324
"2","Friday","Scott Waugh","action","Need for Speed","14/03/2014","Buena Vista Studios",204.2,66,203.3,6.6,2.97,159.7,78.6,137.3,208,132,43.6,21.4,204.2,2.31005573775089,5.94,2.13767053723676,2.31806333496276
"3","Friday","Patrick Hughes","action","The Expendables 3","15/08/2014","Lionsgate",207.1,100,206.2,6.1,2.93,166.9,80.9,106.2,106.2,126,39.3,19.1,207.1,2.31618009889345,5.86,2.02612451674545,2.02612451674545
"4","Friday","Phil Lord, Chris Miller","comedy","21 Jump Street","16/03/2012","Sony",208.8,42,201.6,7.2,3.62,63.1,31.3,159.6,380,109,138.4,68.7,208.8,2.31973049433022,7.24,2.20303288701471,2.57978359661681
"5","Friday","Roland Emmerich","action","White House Down","28/06/2013","Sony",209.7,150,205.4,8,3.65,132.3,64.4,55.4,36.9,131,73.1,35.6,209.7,2.32159843046534,7.3,1.74350976472843,1.56702636615906
"6","Friday","David Ayer","action","Fury","17/10/2014","Sony",212.8,80,211.8,5.8,2.85,126,59.5,131.8,164.8,134,85.8,40.5,212.8,2.32797162362301,5.7,2.11991541025799,2.2169572073611
"7","Thursday","Rob Marshall","adventure","Into the Woods","25/12/2014","Buena Vista Studios",213.9,50,212.9,6,3.16,84.9,39.9,162.9,325.8,125,128,60.1,213.9,2.33021078457153,6.32,2.21192108430851,2.51295107997249
"8","Friday","Daniel Espinosa","action","Safe House","10/2/2012","Universal",215.5,85,208.1,6.8,3.45,81.7,39.3,123.1,144.8,115,126.4,60.7,215.5,2.33344727449675,6.9,2.09025805293132,2.16076856186113
"9","Friday","Gary Shore","action","Dracula Untold","10/10/2014","Universal",216.5,70,215.5,6.3,2.92,159.2,73.9,145.5,207.9,92,56.3,26.1,216.5,2.33545790068938,5.84,2.16286299332193,2.31785448933147
"10","Friday","Henry Joost, Ariel Schulman","horror","Paranormal Activity 3","21/10/2011","Paramount Pictures",218.8,5,207,5.9,2.9,103,49.8,202,4040,84,104,50.2,218.8,2.34004731766139,5.8,2.30535136944662,3.60638136511061
"11","Friday","Eric Brevig","animation","Yogi Bear","17/12/2010","WB",219.9,80,201.6,4.5,2.17,101.3,50.3,121.6,152,80,100.2,49.7,219.9,2.34222522936079,4.34,2.08493357493672,2.18184358794477
"12","Friday","Morten Tyldum","biography","The Imitation Game","28/11/2014","Weinstein Company",221,15,220,8.1,4,128.9,58.6,205,1366.7,114,91.1,41.4,221,2.34439227368511,8,2.31175386105575,3.13567319441924
"13","Thursday","Bryan Singer","biography","Valkyrie","25/12/2008","UA Entertainment",221.2,75,200.3,7.1,3.44,117.2,58.5,125.3,167.1,121,83.1,41.5,221.2,2.34478512263266,6.88,2.09795107099415,2.22297644989339
"14","Friday","Seth Gordon","comedy","Horrible Bosses","8/7/2011","WB/New Line",221.6,37,209.6,6.9,3.37,92.1,43.9,172.6,466.5,98,117.5,56.1,221.6,2.34556975605639,6.74,2.23704079137919,2.66885164808252
"15","Friday","Ryan Murphy","drama","Eat Pray Love","13/08/2010","Sony",223.1,60,204.6,5.6,2.84,124,60.6,144.6,241,133,80.6,39.4,223.1,2.34849957028384,5.68,2.16016829295851,2.38201704257487
"16","Friday","Paul Greengrass","drama","Captain Phillips","11/10/2013","Sony",223.4,55,218.8,7.9,3.84,111.7,51,163.8,297.8,134,107.1,49,223.4,2.34908316877959,7.68,2.2143138974244,2.47392469341616
"17","Friday","Hayao Miyazaki","animation","Ponyo","14/08/2009","Buena Vista Studios",223.7,34,201.8,7.7,3.82,186.7,92.5,167.8,493.5,101,15.1,7.5,223.7,2.34966598409663,7.64,2.22479195649268,2.69328715700566
"18","Friday","Jaume Collet-Serra","action","Non-Stop","28/02/2014","Universal",223.8,50,222.8,7,3.4,130.6,58.6,172.8,345.6,106,92.2,41.4,223.8,2.34986008219233,6.8,2.23754373814287,2.53857373380686
"19","Friday","Jonathan Liebesman","action","Battle: Los Angeles","11/3/2011","Sony",223.9,70,211.8,7.6,3.65,128.3,60.6,141.8,202.6,116,83.6,39.4,223.9,2.35005409357903,7.3,2.15167623084705,2.30663944102426
"20","Friday","Christopher McQuarrie","action","Jack Reacher","21/12/2012","Paramount Pictures",226.1,60,218.3,7,3.46,138.3,63.3,158.3,263.8,130,80.1,36.7,226.1,2.35430056234536,6.92,2.19948091486236,2.42127479121035
"21","Friday","Dennis Dugan","comedy","Just Go With It","11/2/2011","Sony",227.2,80,214.9,6.4,3.17,111.9,52.1,134.9,168.6,117,103,47.9,227.2,2.35640832703898,6.34,2.1300119496719,2.22685757028872
"22","Friday","Robert Luketic","comedy","The Ugly Truth","24/07/2009","Sony",227.6,38,205.3,6.5,3.21,116.4,56.7,167.3,440.3,96,88.9,43.3,227.6,2.35717225772303,6.42,2.22349594096239,2.64374868545953
"23","Friday","Jake Kasdan","comedy","Bad Teacher","24/06/2011","Sony",228.6,19,216.2,5.7,2.96,115.9,53.6,197.2,1037.9,92,100.3,46.4,228.6,2.35907622605926,5.92,2.29490691060519,3.01615551195145
"24","Wednesday","Tate Taylor","drama","The Help","10/8/2011","Buena Vista Studios",229,25,216.6,8.1,3.93,46.9,21.7,191.6,766.4,146,169.7,78.3,229,2.35983548233989,7.86,2.28239550474253,2.88445549607049
"25","Friday","Todd Phillips","comedy","Due Date","5/11/2010","WB",231,65,211.8,6.6,3.17,111.2,52.5,146.8,225.9,95,100.5,47.5,231,2.36361197989214,6.34,2.16672605558005,2.35391623092036
"26","Friday","Tommy Wirkola","action","Hansel and Gretel: Witch Hunters","25/01/2013","Paramount Pictures",231,50,226.3,6.1,2.9,170.6,75.4,176.3,352.6,88,55.7,24.6,231,2.36361197989214,5.8,2.24625231229932,2.5472823079633
"27","Friday","Adam Shankman","musical","Hairspray (2007)","20/07/2007","New Line Cinema",232.3,75,202.5,6.8,3.44,83.7,41.3,127.5,170,117,118.9,58.7,232.3,2.36604920980024,6.88,2.10551018476997,2.23044892137827
"28","Friday","Martin Campbell","action","Green Lantern","17/06/2011","WB",232.5,200,219.9,5.7,2.87,103.3,47,19.9,10,114,116.6,53,232.5,2.36642295722597,5.74,1.29885307640971,1
"29","Wednesday","Baz Luhrmann","adventure","Australia","26/11/2008","Fox",233.4,78,211.3,7.6,3.5,161.8,76.6,133.3,170.9,165,49.6,23.4,233.4,2.36810085170935,7,2.12483014941386,2.23274206272074
"30","Friday","Neill Blomkamp","sci-fi","District 9","14/08/2009","TriStar",233.7,30,210.8,8,3.87,95.2,45.1,180.8,602.7,112,115.6,54.9,233.7,2.36865871239223,7.74,2.25719842613934,2.78010119146791
"31","Friday","Paul Feig","action","The Heat","28/06/2013","Fox",234.7,43,229.9,6.6,4.07,70.3,30.6,186.9,434.7,117,159.6,69.4,234.7,2.37051308959859,8.14,2.27160930137883,2.63818964019084
"32","Wednesday","Jon Turteltaub","action","The Sorcerer's Apprentice","14/07/2010","Buena Vista Studios",234.8,160,215.3,7.1,3.48,152.1,70.7,55.3,34.6,109,63.2,29.3,234.8,2.37069809257558,6.96,1.7427251313047,1.53907609879278
"33","Thursday","Adam Shankman","comedy","Bedtime Stories","25/12/2008","Buena Vista Studios",235.2,80,212.9,6.1,3.12,102.8,48.3,132.9,166.1,99,110.1,51.7,235.2,2.3714373174041,6.24,2.12352498094273,2.22036963245139
"34","Friday","Garry Marshall","comedy","Valentine's Day","12/2/2010","WB",236.1,52,216.5,5.8,3,106,49,164.5,316.4,125,110.5,51,236.1,2.37309598707873,6,2.21616590228599,2.50023647482564
"35","Wednesday","Michael Mann","biography","Public Enemies","1/7/2009","Universal",237.3,102.5,214.1,7,3.36,117,54.6,111.6,108.9,140,97.1,45.4,237.3,2.37529773821734,6.72,2.04766419460156,2.03702787975578
"36","Friday","Brian Grant","crime","Immortals","11/11/2011","Relativity Media",239.9,75,226.9,6.1,2.93,143.4,63.2,151.9,202.5,98,83.5,36.8,239.9,2.38003024796783,5.86,2.18155777386279,2.30642502755069
"37","Friday","Ben Affleck","drama","Argo","12/10/2012","WB",240.6,44.5,232.3,7.8,3.9,96.3,41.5,187.8,422,120,136,58.5,240.6,2.38129562300383,7.8,2.27369558793009,2.62531245096167
"38","Friday","Michel Gondry","action","The Green Hornet","14/01/2011","Sony",240.8,110,227.8,5.9,2.97,129,56.6,117.8,107.1,119,98.8,43.4,240.8,2.38165648258579,5.94,2.07114529045108,2.02978947083186
"39","Friday","Peyton Reed","comedy","The Break-Up","2/6/2006","Universal",241.8,52,205,5.8,2.94,86.3,42.1,153,294.2,106,118.7,57.9,241.8,2.38345629652475,5.88,2.1846914308176,2.46864266839151
"40","Friday","Nancy Meyers","comedy","The Holiday","8/12/2006","Sony",241.9,85,205.1,6.9,3.53,141.9,69.2,120.1,141.3,138,63.2,30.8,241.9,2.38363586836188,7.06,2.07954300740291,2.15014216184856
"41","Friday","Tom Vaughan","comedy","What Happens in Vegas","9/5/2008","Fox",242.3,35,219.4,7.3,3.51,139.1,63.4,184.4,526.9,99,80.3,36.6,242.3,2.38435341413751,7.02,2.26576091671761,2.72172819857279
"42","Friday","Nancy Meyers","comedy","It's Complicated","25/12/2009","Universal",242.9,75,219.1,6.6,2.5,106.4,48.5,144.1,192.1,120,112.7,51.5,242.9,2.38542751480513,5,2.15866398081399,2.28352736486169
"43","Friday","Hayden Schlossberg, Jon Hurwitz","comedy","American Reunion","6/4/2012","Universal",243.4,50,235,6.8,3.17,178,75.7,185,370,113,57,24.3,243.4,2.38632057389405,6.34,2.26717172840301,2.56820172406699
"44","Wednesday","Jose Padilha","sci-fi","RoboCop","12/2/2014","Sony",243.8,120,242.7,7.1,3.34,184.1,75.9,122.7,102.3,117,58.6,24.1,243.8,2.38703370128236,6.68,2.088844562727,2.00987563371216
"45","Friday","Klay Hall","animation","Planes","9/8/2013","Buena Vista Studios",244.3,50,239.3,5.7,2.86,149,62.3,189.3,378.6,91,90.3,37.7,244.3,2.38792346697344,5.72,2.2771506139638,2.57818060962778
"46","Friday","Brett Ratner","action","Hercules (2015)","25/07/2014","Paramount Pictures",244.5,100,243.4,6.1,3.33,170.7,70.1,143.4,143.4,98,72.7,29.9,244.5,2.38827886345964,6.66,2.15654915133178,2.15654915133178
"47","Friday","David O. Russell","romance","Silver Linings Playbook","16/11/2012","Weinstein Company",244.9,21,236.4,7.8,3.86,104.3,44.1,215.4,1025.7,122,132.1,55.9,244.9,2.38898878512471,7.72,2.33324569896196,3.01102035551626
"48","Friday","David Fincher","biography","The Social Network","1/10/2010","Sony",245.3,40,224.9,7.8,3.67,128,56.9,184.9,462.3,120,97,43.1,245.3,2.38969754820639,7.34,2.26693691115917,2.66492389343808
"49","Thursday","Doug Liman","action","Jumper","14/02/2008","Fox",245.4,82.5,222.2,6.1,2.98,142.1,63.9,139.7,169.3,88,80.2,36.1,245.4,2.38987455839099,5.96,2.14519640611418,2.22865695810894
"50","Tuesday","David Fincher","crime","The Girl with the Dragon Tattoo (2011)","20/12/2011","Sony",245.9,90,232.6,7.9,3.87,130.1,55.9,142.6,158.4,158,102.5,44.1,245.9,2.39075852873872,7.74,2.15411952551585,2.19975517725347
"51","Wednesday","Dean Parisot","comedy","Fun with Dick and Jane","21/12/2005","Sony",246,140,202,6.1,3,91.7,45.4,62,44.3,90,110.3,54.6,246,2.39093510710338,6,1.79239168949825,1.64640372622307
"52","Friday","Peyton Reed","comedy","Yes Man","19/12/2008","WB",246.5,50,223.2,6.9,3.46,125.6,56.2,173.2,346.4,104,97.7,43.8,246.5,2.39181692361325,6.92,2.23854788768133,2.53957788334531
"53","Friday","Chris Columbus","fantasy","Percy Jackson & The Olympians: The Lightning Thief","12/2/2010","Fox",247,95,226.5,5.9,3.01,137.7,60.8,131.5,138.4,118,88.8,39.2,247,2.39269695325967,6.02,2.11892575282578,2.14113609012074
"54","Friday","Paul W.S. Anderson","action","Resident Evil: Retribution","14/09/2012","Screen Gems",248.8,65,240.2,5.3,3,197.8,82.4,175.2,269.5,96,42.3,17.6,248.8,2.39585037601878,6,2.24353410183206,2.43055876952276
"55","Friday","M. Night Shyamalan","action","After Earth","31/05/2013","Sony",248.9,130,243.8,4.9,2.43,183.3,75.2,113.8,87.5,100,60.5,24.8,248.9,2.39602489660859,4.86,2.05614226205905,1.94200805302231
"56","Friday","Judd Apatow","comedy","Knocked Up","1/6/2007","Universal",251.3,27.5,219.1,7.1,3.59,70.3,32.1,191.6,696.7,129,148.8,67.9,251.3,2.40019248859258,7.18,2.28239550474253,2.84304581053457
"57","Friday","Pierre Morel","action","Taken","30/01/2009","Fox",251.4,25,226.8,7.9,3.85,81.8,36.1,201.8,807.2,93,145,63.9,251.4,2.40036527334994,7.7,2.30492116190089,2.90698115322885
"58","Friday","Dennis Dugan","comedy","Grown Ups 2","12/7/2013","Sony",252.1,80,247,5.4,2.34,113.3,45.9,167,208.8,101,133.7,54.1,252.1,2.40157284567645,4.68,2.22271647114758,2.31973049433022
"59","Friday","Peter Hewitt","comedy","Garfield: The Movie","11/6/2004","Fox",252.8,50,200.8,4.9,2.27,125.4,62.5,150.8,301.6,80,75.4,37.5,252.8,2.40277706961035,4.54,2.17840134153376,2.47943133719774
"60","Friday","Tim Burton","comedy","Dark Shadows","11/5/2012","WB",254.3,150,245.5,6.2,3.03,165.8,67.5,95.5,63.7,113,79.7,32.5,254.3,2.40534636017571,6.06,1.98000337158375,1.80413943233535
"61","Friday","Peter Segal","action","Get Smart","20/06/2008","WB",254.8,80,230.7,6.5,3.27,100.4,43.5,150.7,188.4,110,130.3,56.5,254.8,2.40619942366331,6.54,2.17811325231463,2.27508089845686
"62","Wednesday","Antoine Fuqua","action","King Arthur","7/7/2004","Buena Vista Studios",256.3,90,203.6,6.3,3.05,151.7,74.5,113.6,126.2,126,51.9,25.5,256.3,2.40874860618424,6.1,2.055378331375,2.10105935490812
"63","Friday","David O. Russell","drama","American Hustle","13/12/2013","Sony",256.4,40,251.2,6.3,2.81,101.1,40.2,211.2,528,138,150.1,59.8,256.4,2.40891802084678,5.62,2.32469391386177,2.72263392253381
"64","Friday","John R. Leonetti","horror","Annabelle","3/10/2014","WB/New Line",256.5,6.5,255.3,5.4,2.41,171,67,248.8,3827.7,99,84.3,33,256.5,2.40908736944783,4.82,2.39585037601878,3.58293789215335
